,crime_type,crime_nb,precinct,zipcode
186,G.L.A. ,33,32,10030
187,G.L.A. ,36,33,10031
188,G.L.A. ,85,34,10033
189,G.L.A. ,101,40,10454
190,G.L.A. ,82,41,10459
191,G.L.A. ,98,42,10452
192,G.L.A. ,182,43,10472
193,G.L.A. ,179,44,10452
194,G.L.A. ,142,45,10465
195,G.L.A. ,116,46,10457
196,G.L.A. ,215,47,10466
197,G.L.A. ,80,48,10457
198,G.L.A. ,134,49,10461
199,G.L.A. ,83,50,10463
200,G.L.A. ,112,52,10467
201,G.L.A. ,29,5,10013
202,G.L.A. ,67,60,11224
203,G.L.A. ,141,61,11223
204,G.L.A. ,105,62,11214
205,G.L.A. ,107,63,11210
206,G.L.A. ,99,66,11218
207,G.L.A. ,171,67,11226
208,G.L.A. ,119,68,11220
209,G.L.A. ,107,69,11236
210,G.L.A. ,51,6,10011
211,G.L.A. ,94,70,11230
212,G.L.A. ,87,71,11225
213,G.L.A. ,110,72,11232
214,G.L.A. ,98,73,11212
215,G.L.A. ,317,75,11208
216,G.L.A. ,59,76,11231
217,G.L.A. ,133,77,11213
218,G.L.A. ,76,78,11217
219,G.L.A. ,139,79,11211
220,G.L.A. ,31,7,10002
221,G.L.A. ,123,81,11221
222,G.L.A. ,141,83,11237
223,G.L.A. ,46,84,11201
224,G.L.A. ,102,88,11205
225,G.L.A. ,166,90,11211
226,G.L.A. ,115,94,11222
227,G.L.A. ,36,9,10003
228,G.L.A. ,1,CPP,10024
229,G.L.A. ,46,MNP,10019
230,G.L.A. ,27,MSP,10001
231,Gr. Larceny ,188,100,11693
232,Gr. Larceny ,195,101,11691
233,Gr. Larceny ,480,102,11418
234,Gr. Larceny ,435,103,11432
235,Gr. Larceny ,580,104,11385
236,Gr. Larceny ,547,105,11428
237,Gr. Larceny ,539,106,11417
238,Gr. Larceny ,432,107,11365
239,Gr. Larceny ,511,108,11105
240,Gr. Larceny ,866,109,11354
241,Gr. Larceny ,722,10,10011
242,Gr. Larceny ,570,110,11368
243,Gr. Larceny ,429,111,11361
244,Gr. Larceny ,400,112,11375
245,Gr. Larceny ,554,113,11434
246,Gr. Larceny ,660,114,11103
247,Gr. Larceny ,631,115,11372
248,Gr. Larceny ,371,120,10301
249,Gr. Larceny ,390,121,None
250,Gr. Larceny ,308,122,10306
251,Gr. Larceny ,211,123,10307
252,Gr. Larceny ,1396,13,10010
253,Gr. Larceny ,608,17,10017
254,Gr. Larceny ,1315,19,10021
